HTOJ,Unknown,AGPL-3.0
github.com/a-h/templ,https://github.com/a-h/templ/blob/v0.3.960/LICENSE,MIT
github.com/gabriel-vasile/mimetype,https://github.com/gabriel-vasile/mimetype/blob/v1.4.8/LICENSE,MIT
github.com/gin-contrib/sse,https://github.com/gin-contrib/sse/blob/v1.1.0/LICENSE,MIT
github.com/gin-gonic/gin,https://github.com/gin-gonic/gin/blob/v1.11.0/LICENSE,MIT
github.com/go-playground/locales,https://github.com/go-playground/locales/blob/v0.14.1/LICENSE,MIT
github.com/go-playground/universal-translator,https://github.com/go-playground/universal-translator/blob/v0.18.1/LICENSE,MIT
github.com/go-playground/validator/v10,https://github.com/go-playground/validator/blob/v10.27.0/LICENSE,MIT
github.com/goccy/go-yaml,https://github.com/goccy/go-yaml/blob/v1.18.0/LICENSE,MIT
github.com/leodido/go-urn,https://github.com/leodido/go-urn/blob/v1.4.0/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.20/LICENSE,MIT
github.com/pelletier/go-toml/v2,https://github.com/pelletier/go-toml/blob/v2.2.4/LICENSE,MIT
github.com/quic-go/qpack,https://github.com/quic-go/qpack/blob/v0.5.1/LICENSE.md,MIT
github.com/quic-go/quic-go,https://github.com/quic-go/quic-go/blob/v0.54.0/LICENSE,MIT
github.com/ugorji/go/codec,https://github.com/ugorji/go/blob/codec/v1.3.0/codec/LICENSE,MIT
golang.org/x/crypto,https://cs.opensource.google/go/x/crypto/+/v0.41.0:LICENSE,BSD-3-Clause
golang.org/x/net,https://cs.opensource.google/go/x/net/+/v0.43.0:LICENSE,BSD-3-Clause
golang.org/x/sys,https://cs.opensource.google/go/x/sys/+/v0.35.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.28.0:LICENSE,BSD-3-Clause
google.golang.org/protobuf,https://github.com/protocolbuffers/protobuf-go/blob/v1.36.9/LICENSE,BSD-3-Clause
